objectid,filename,youtubeid,vimeoid,goodreads,title,creator,date,date_published,description,subject,location,location_setting,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
book030,,,,,The Wind in the Willows,"Grahame, Kenneth",1908,,,,,,,,,,,,,,
book031,,,,,The Big Sky,"Guthrie, A. B., Jr.",1947,,,,,,,,,,,,,,
book032,,,,,When Rain Clouds Gather; A Novel,"Head, Bessie",1968,,,,,,,,,,,,,,
book033,,,,,Dune,"Herbert, Frank",1965,,,,,,,,,,,,,,
book034,,,,,The Village of Bom Jesus,"Hill, Lloyd E.",1993,,,,,,,,,,,,,,
book035,,,,,Darkest England,"Hope, Christopher",1996,,,,,,,,,,,,,,
book036,,,,,Miss Smilla's Feeling for Snow,"Høeg, Peter",1996,,,,,,,,,,,,,,
book037,,,,,A Living Soul,"Jersild, P. C.",1988,,,,,,,,,,,,,,
book038,,,,,The Country of the Pointed Firs,"Jewett, Sarah Orne",1896,,,,,,,,,,,,,,
book039,,,,,"Green Grass, Running Water","King, Thomas",1993,,,,,,,,,,,,,,
book040,,,,,Animal Dreams: A Novel,"Kingsolver, Barbara",1990,,,,,,,,,,,,,,
book041,,,,,Always Coming Home,"Le Guin, Ursula K.",1986,,,,,,,,,,,,,,
book042,,,,,Solaris,"Lem, Stanisław",1970,,,,,,,,,,,,,,
book043,,,,,The Call of the Wild,"London, Jack",1903,,,,,,,,,,,,,,
book044,,,,,Winter Count,"Lopez, Barry Holstun",1981,,,,,,,,,,,,,,
book045,,,,,Flight of Ashes,"Maron, Monika",1986,,,,,,,,,,,,,,
book046,,,,,At Play in the Fields of the Lord,"Matthiessen, Peter",1965,,,,,,,,,,,,,,
book047,,,,,Mardi; And a Voyage Thither,"Melville, Herman",1849,,,,,,,,,,,,,,
book048,,,,,Omoo: A Narrative of Adventures in the South Seas,"Melville, Herman",1847,,,,,,,,,,,,,,
book049,,,,,Typee: A Peep at Polynesian Life,"Melville, Herman",1846,,,,,,,,,,,,,,
book050,,,,,House Made of Dawn,"Momaday, Natachee Scott",1968,,,,,,,,,,,,,,
book051,,,,,In the Palm of Darkness: A Novel,"Montero, Mayra",1997,,,,,,,,,,,,,,
book052,,,,,The Iron Bridge,"Morse, David E.",1998,,,,,,,,,,,,,,
book053,,,,,Green Fires: Assault on Eden: A Novel of the Ecuadorian Rainforest,"Mueller, Marnie",1994,,,,,,,,,,,,,,
book054,,,,,A Grain of Wheat,Ngũgĩ wa Thiongʼo,1967,,,,,,,,,,,,,,
book055,,,,,"Cry, the Beloved Country: A Story of Comfort in Desolation","Paton, Alan",1948,,,,,,,,,,,,,,
book056,,,,,Woman on the Edge of Time,"Piercy, Marge",1976,,,,,,,,,,,,,,
book057,,,,,Skywater,"Popham, Melinda Worth",1990,,,,,,,,,,,,,,
book058,,,,,Ishmael: A Novel,"Quinn, Daniel",1992,,,,,,,,,,,,,,
book059,,,,,Ceremony,"Silko, Leslie Marmon",1977,,,,,,,,,,,,,,
book060,,,,,A Thousand Acres,"Smiley, Jane",1991,,,,,,,,,,,,,,
book061,,,,,Eco-fiction,"Stadler, John",1971,,,,,,,,,,,,,,
book062,,,,,The Grapes of Wrath,"Steinbeck, John",1939,,,,,,,,,,,,,,
book063,,,,,Cow / A Novel,"Sterchi, Beat",1988,,,,,,,,,,,,,,
book064,,,,,Earth Abides,"Stewart, George Rippey",1976,,,,,,,,,,,,,,
book065,,,,,The Woman Who Married a Bear,"Straley, John",1992,,,,,,,,,,,,,,
book066,,,,,The Mosquito Coast: A Novel,"Theroux, Paul",1982,,,,,,,,,,,,,,
book067,,,,,The Lord of the Rings,"Tolkien, J. R. R.",1955,,,,,,,,,,,,,,
book068,,,,,The Bridge in the Jungle,"Traven, B.",1938,,,,,,,,,,,,,,
book069,,,,,Demon,"Varley, John",1984,,,,,,,,,,,,,,
book070,,,,,Titan,"Varley, John",1979,,,,,,,,,,,,,,
book071,,,,,Wizard,"Varley, John",1980,,,,,,,,,,,,,,
book072,,,,,The Woman at Otowi Crossing; A Novel,"Waters, Frank",1966,,,,,,,,,,,,,,
book073,,,,,Winter in the Blood,"Welch, James",1974,,,,,,,,,,,,,,
book074,,,,,Where Late the Sweet Birds Sang,"Wilhelm, Kate",1976,,,,,,,,,,,,,,
book075,,,,,Gabo Djara,"Wongar, B.",1987,,,,,,,,,,,,,,
