objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
book001,bless_me_ultima.jpg,,,"Bless Me, Ultima",Rudolfo Anaya,1999-04-01,Photographic image of the book by Rudolfo Anaya,books,"New Mexico, USA",34.1207340666312,-105.998771179047,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book002,city_of_the_beasts.jpg,,,City of the beasts,Isabel Allende,2004-04-27,Photographic image of the book by Isabel Allende,books,Amazon Rainforest,-3.46470542745465,-62.2140352183301,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book003,jayber_crow.jpg,,,Jayber Crow: A Novel,Wendell Berry,2000-09-05,Photographic image of the book by Wendell Berry,books,USA,39.6447858344787,-101.429475415035,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book004,surfacing.jpg,,,Surfacing,Margaret Atwood,1998-06-01,Photographic image of the book by Margaret Atwood,books,"Québec, Canada",46.8161574277628,-71.2027934310261,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book005,the_monkey_wrench_gang.jpg,,,The Monkey Wrench Gang,Edward Abbey,2006-12-12,Photographic image of the book by Edward Abbey,books,"Arizona, USA",34.3031445868842,-111.73731649785,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
book006,watership_down.jpg,,,Watership Down,Richard Adams,1975-06-01,Photographic image of the book by Richard Adams,books,"Watership Down, Hampshire, England, UK",51.3320419807982,-1.28308983812613,Goodreads,,Image;StillImage,image/jpeg,eng,In Copyright - Non-Commercial Use Permitted,https://rightsstatements.org/page/InC-NC/1.0/?language=en
video001,rudolfo_anaya_interview_bless_me_ultima_movie,d8B-Y2SOgpU,,"Rudolfo Anaya Interview Bless Me, Ultima Movie",Arenas Entertainment,2013-03-18,"Video of an interview with Rudolfo Anaya on the book BLESS ME, ULTIMA",interviews,,,,YouTube,,Image;MovingImage,video/mp4,eng,Public Domain,https://creativecommons.org/licenses/by/3.0/us/
video002,interview_of_richard_adams_watership_down_author_at_whitchurch_arts_show_(nov_2012),TUBrxPMntG4,,"Interview of Richard Adams, Watership Down author, at Whitchurch Arts show (Nov 2012)",Whitchurch Hampshire,2012-11-07,Video of an interview with Richard Adams on the book Watership Down,interviews,,,,YouTube,,Image;MovingImage,video/mp4,eng,Public Domain,https://creativecommons.org/licenses/by/3.0/us/
